2026-08-16 04:14:16 | WARNING  | app.services.admin_user_service | admin_user_service.py:156 | Admin user lookup received a malformed user_id: not-a-uuid
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/history: Authentication credentials were not provided.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/history: You do not have permission to perform this action.
2026-08-16 04:14:16 | WARNING  | app.api.v1.admin.history | history.py:252 | Admin history detail lookup failed: history_id=does-not-exist not_found=True
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/history/does-not-exist: The requested prediction history record was not found.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/system: Authentication credentials were not provided.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/system: You do not have permission to perform this action.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/users: Authentication credentials were not provided.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/users: You do not have permission to perform this action.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/users/72459ab8-d47c-4d6f-82db-d35e5e4db3cf: The requested user was not found.
2026-08-16 04:14:16 | WARNING  | app.services.admin_user_service | admin_user_service.py:156 | Admin user lookup received a malformed user_id: not-a-uuid
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/admin/users/not-a-uuid: The requested user was not found.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on POST /api/v1/admin/users/22f79844-f0dd-4266-bce1-cb20487d08f9/activate: The requested user was not found.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on POST /api/v1/admin/users/63503ade-ac3d-472e-b9a5-8c1c68145120/deactivate: The requested user was not found.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on POST /api/v1/admin/users/3e7a64d4-05b0-4b72-8b07-9efca7535ec1/deactivate: Administrators cannot deactivate their own account.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on POST /api/v1/admin/users/dea6de5a-b6a3-4fd4-ac27-15e6ea2bb574/deactivate: This action would leave the system with no active administrator accounts and has been blocked.
2026-08-16 04:14:16 | WARNING  | app.services.admin_user_service | admin_user_service.py:156 | Admin user lookup received a malformed user_id: not-a-uuid
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on POST /api/v1/admin/users/not-a-uuid/deactivate: The requested user was not found.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/monitoring: Authentication credentials were not provided.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/monitoring: You do not have permission to perform this action.
